LocalSiteName,StudySite,AgencyCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,LandSurfaceElevation_mASL_NAVD88,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,WellSite,CoreSite,OtherEquipmentSite,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,MidOfScreenElevation_mASL_NAVD88,DateOfConstruction,Comments_DateOfConstruction,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x15-N6,Bemidji,USGS,,,342541.28,5271062.29,434.049,,,0,1,0,,,,,,Active,,
x15-N7,Bemidji,USGS,,,342563.44,5271111.22,434.401,,,0,1,0,,,,,,Active,,
x15-N8,Bemidji,USGS,,,342557.79,5271104.47,434.263,,,0,1,0,,,,,,Active,,
x15-N9,Bemidji,USGS,,,342551.93,5271097.38,434.263,,,0,1,0,,,,,,Active,,
x15-N10,Bemidji,USGS,,,342546.35,5271090.13,433.962,,,0,1,0,,,,,,Active,,
x15-N11,Bemidji,USGS,,,342541.09,5271082.68,434.028,,,0,1,0,,,,,,Active,,
x15-N12,Bemidji,USGS,,,342535.94,5271074.85,434.101,,,0,1,0,,,,,,Active,,
x15-N13,Bemidji,USGS,,,342558.76,5271126.11,434.33,,,0,1,0,,,,,,Active,,
x1217E,Bemidji,USGS,x473429095051006,1217E     147N35W02DCBB  06,343106.91,5271121.65,425.806,1.0,326.57,1,0,0,420.155,420.067,420.111,20160726.0,This well was installed by B. Mason several years after initial 1217 well nest was established.,Active,,
xWT1601,Bemidji,USGS,,,342691.6,5271009.94,431.021,,,0,0,1,,,,20160801,,Active,,
x1602G-01,Bemidji,USGS,x473424095052912,1602G-01  Bemidji Toxics Research Site,342693.48,5271007.85,431.124,1.0,-97.51,1,0,0,425.641,425.61,425.626,20160802.0,,Active,,
x707G-01,Bemidji,USGS,x473424095052906,707G-01   Bemidji Toxics Research Site,342714.17,5271007.89,430.81,1.0,-78.58,1,0,0,425.327,425.296,425.312,20160809.0,,Active,,
x1603,Bemidji,USGS,,,342807.96,5271047.46,432.657,1.0,23.2,0,1,0,,,,20160802,,Active,,
x1604,Bemidji,USGS,,,342808.06,5271048.34,432.708,1.0,23.65,0,1,0,,,,20160803,,Active,,
xCL-MW3,Cass Lake,USGS,,,376368.69,5248417.18,,0.0,,1,0,0,,,,,Installation date unknown,Active,,
xCL-pipeline,Cass Lake,USGS,,,,,,,,0,0,1,,,,,Installation date unknown,Active,,
x1705,Bemidji,USGS,,,342701.5,5270941.42,428.75,,,0,1,0,,,,20170624,,Active,,
x1710,Bemidji,USGS,,,342829.8,5271013.25,431.694,,,0,1,0,,,,20170627,,Active,,
x1801,Bemidji,USGS,,,342698.15,5270938.47,429.156,,,0,1,0,,,,20180620,,Active,,
xL1802-1.8,Bemidji,USGS,,,342698.85,5270942.37,429.393,,,0,1,1,,,,20180622,,Active,,
xL1802-3.3,Bemidji,USGS,,,342699.31,5270943.24,429.436,,,0,1,1,,,,20180621,,Active,,
xF530G.1,Bemidji,USGS,,,342870.08,5271066.06,433.38,1.0,87.53,0,0,1,,,,20180621,,Active,,
xF9015G.1,Bemidji,USGS,,,342787.97,5271029.84,430.842,1.0,2.22,0,0,1,,,,20180621,,Active,,
xF301G.1,Bemidji,USGS,,,342779.29,5271033.28,430.579,1.0,-8.76,0,0,1,,,,20180621,,Active,,
xF1602G.1,Bemidji,USGS,,,342691.72,5270997.42,431.123,1.0,-103.35,0,0,1,,,,20180621,,Active,,
xF310G.3,Bemidji,USGS,,,342602.46,5270947.06,434.596,1.0,-205.36,0,0,1,,,,20180621,,Active,,
xTG1611,Bemidji,USGS,,,342789.28,5271077.04,432.329,,,0,0,1,,,,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",Active,"temporary sampling location, backfilled after measurements taken.",
xTG1627,Bemidji,USGS,,,342823.12,5271070.55,433.038,,,0,0,1,,,,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",Active,"temporary sampling location, backfilled after measurements taken.",
xTG1620,Bemidji,USGS,,,342836.86,5271072.97,433.171,,,0,0,1,,,,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",Active,"temporary sampling location, backfilled after measurements taken.",
xTG1634,Bemidji,USGS,,,342829.13,5271014.17,432.156,,,0,0,1,,,,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",Active,"temporary sampling location, backfilled after measurements taken.",
x17.lk1,Bemidji,USGS,,,343129.16,5271118.22,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk2,Bemidji,USGS,,,343134.11,5271119.97,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk3,Bemidji,USGS,,,343138.83,5271120.17,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc1,Bemidji,USGS,,,343136.15,5271114.97,,0.0,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc2,Bemidji,USGS,,,343136.27,5271110.3,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc3,Bemidji,USGS,,,343130.97,5271105.87,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc4,Bemidji,USGS,,,343128.54,5271101.82,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc5,Bemidji,USGS,,,343127.64,5271096.41,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc6,Bemidji,USGS,,,343125.97,5271091.77,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc7,Bemidji,USGS,,,343126.01,5271085.89,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc8,Bemidji,USGS,,,343124.74,5271080.86,,,,1,0,0,,,,,,Removed,temporary sampling location,
x17.lk.sc9,Bemidji,USGS,,,343123.92,5271075.92,,,,1,0,0,,,,,,Removed,temporary sampling location,
x1802,Bemidji,USGS,x473423095052902,1802      Bemidji Toxics Research Site  0000786140,342702.18,5270941.2,429.463,0.0,,1,0,0,424.644,423.33,423.987,20180625.0,,Active,,
x1605,Bemidji,USGS,,,342890.38,5271084.0,433.245,1.0,113.35,0,1,0,,,,20160804,,Active,,
x1606,Bemidji,USGS,,,342900.77,5271091.0,433.279,1.0,125.69,0,1,0,,,,20160805,,Active,,
x1607,Bemidji,USGS,,,342901.94,5271091.21,433.334,1.0,126.84,0,1,0,,,,20160805,,Active,,
x1608,Bemidji,USGS,,,342779.24,5271062.32,431.994,,,0,1,0,,,,20160806,,Active,,
x1609,Bemidji,USGS,,,342845.43,5271061.04,433.035,1.0,62.96,0,1,0,,,,20160806,,Active,,
x1610,Bemidji,USGS,,,342878.35,5271077.38,432.988,1.0,99.67,0,1,0,,,,20160808,,Active,,
x1611,Bemidji,USGS,,,342891.23,5271084.36,433.262,1.0,114.28,0,1,0,,,,20160808,,Active,,
x1612,Bemidji,USGS,,,342665.99,5271002.02,430.893,,,0,1,1,,,,20160809,,Active,,
xF1402G,Bemidji,USGS,,,342812.2,5271045.7,432.797,,,0,0,1,,,,20160806,,Active,,
x15-N14,Bemidji,USGS,,,342552.66,5271117.99,434.195,,,0,1,0,,,,,,Active,,
x15-N15,Bemidji,USGS,,,342546.46,5271111.6,434.005,,,0,1,0,,,,,,Active,,
x15-N16,Bemidji,USGS,,,342540.4,5271105.12,433.801,,,0,1,0,,,,,,Active,,
x15-N17,Bemidji,USGS,,,342533.81,5271098.47,433.775,,,0,1,0,,,,,,Active,,
x15-N18,Bemidji,USGS,,,342527.45,5271092.06,433.936,,,0,1,0,,,,,,Active,,
x15-N19,Bemidji,USGS,,,342543.33,5271140.58,433.337,,,0,1,0,,,,,,Active,,
x15-N20,Bemidji,USGS,,,342539.3,5271132.96,433.31,,,0,1,0,,,,,,Active,,
x15-N21,Bemidji,USGS,,,342533.04,5271128.02,433.337,,,0,1,0,,,,,,Active,,
x15-N22,Bemidji,USGS,,,342527.86,5271121.6,433.407,,,0,1,0,,,,,,Active,,
x15-N23,Bemidji,USGS,,,342522.53,5271115.68,433.404,,,0,1,0,,,,,,Active,,
x15-N24,Bemidji,USGS,,,342517.75,5271108.87,433.595,,,0,1,0,,,,,,Active,,
x15-N25,Bemidji,USGS,,,342531.26,5271153.08,433.019,,,0,1,0,,,,,,Active,,
x15-N26,Bemidji,USGS,,,342526.25,5271147.07,433.129,,,0,1,0,,,,,,Active,,
x15-N27,Bemidji,USGS,,,342520.1,5271141.22,433.349,,,0,1,0,,,,,,Active,,
x15-N28,Bemidji,USGS,,,342513.82,5271134.95,433.359,,,0,1,0,,,,,,Active,,
x15-N29,Bemidji,USGS,,,342507.53,5271129.18,433.351,,,0,1,0,,,,,,Active,,
x15-N30,Bemidji,USGS,,,342502.95,5271121.15,433.341,,,0,1,0,,,,,,Active,,
x15-N31,Bemidji,USGS,,,342520.94,5271167.97,433.311,,,0,1,0,,,,,,Active,,
x15-N32,Bemidji,USGS,,,342515.79,5271161.91,433.263,,,0,1,0,,,,,,Active,,
x15-N33,Bemidji,USGS,,,342509.89,5271156.19,433.32,,,0,1,0,,,,,,Active,,
x15-N34,Bemidji,USGS,,,342503.74,5271150.26,433.372,,,0,1,0,,,,,,Active,,
x15-N35,Bemidji,USGS,,,342498.19,5271144.57,433.344,,,0,1,0,,,,,,Active,,
x15-N36,Bemidji,USGS,,,342490.34,5271135.9,433.101,,,0,1,0,,,,,,Active,,
x15-N37,Bemidji,USGS,,,342507.61,5271178.66,433.538,,,0,1,0,,,,,,Active,,
x15-N38,Bemidji,USGS,,,342502.68,5271172.68,433.511,,,0,1,0,,,,,,Active,,
x15-N39,Bemidji,USGS,,,342495.94,5271166.0,433.494,,,0,1,0,,,,,,Active,,
x15-N40,Bemidji,USGS,,,342489.78,5271160.88,433.48,,,0,1,0,,,,,,Active,,
x15-N41,Bemidji,USGS,,,342483.55,5271155.28,433.288,,,0,1,0,,,,,,Active,,
